datetime,open,high,low,close
2025-02-06 23:00:00,1.2423,1.2429,1.2361,1.2375
2025-02-07 00:00:00,1.2376,1.2398,1.2367,1.2384
2025-02-07 01:00:00,1.2384,1.2416,1.2382,1.2393
2025-02-07 02:00:00,1.2393,1.2421,1.2389,1.2414
2025-02-07 03:00:00,1.2414,1.2445,1.2414,1.2431
2025-02-07 04:00:00,1.2432,1.2443,1.2429,1.2443
2025-02-07 05:00:00,1.2442,1.2456,1.2437,1.245
2025-02-07 06:00:00,1.2449,1.2451,1.2433,1.2437
2025-02-07 07:00:00,1.2436,1.2441,1.2433,1.2441
2025-02-07 08:00:00,1.2439,1.2441,1.2433,1.2436
